2026-09-05 06:41:10 GPU_PRIORITY_V4 start pid=104554 dry_run=0 poll_seconds=5 grace_ticks=3
2026-09-05 06:47:12 GPU_PRIORITY_V4 drain primary=8 snapshot=0 total=8 free=0 high_wait=1 needed=0 wait_ticks=4 victims=none changed=0 gpu[0:0%/4MiB;1:0%/18595MiB;2:100%/94597MiB;3:99%/55367MiB;4:0%/327MiB;5:72%/29249MiB;6:74%/83377MiB;7:76%/22477MiB;]
2026-09-05 06:47:23 GPU_PRIORITY_V4 fill primary=8 snapshot=0 total=8 free=0 high_wait=0 needed=0 wait_ticks=0 victims=none changed=0 gpu[0:0%/14855MiB;1:11%/83123MiB;2:100%/94597MiB;3:99%/55367MiB;4:7%/14855MiB;5:96%/29249MiB;6:100%/89243MiB;7:90%/22477MiB;]
2026-09-05 06:47:33 GPU_PRIORITY_V4 fill primary=5 snapshot=3 total=8 free=0 high_wait=0 needed=0 wait_ticks=0 victims=none changed=0 gpu[0:0%/4MiB;1:0%/89265MiB;2:100%/94597MiB;3:0%/4MiB;4:0%/4MiB;5:71%/29249MiB;6:90%/89243MiB;7:90%/22477MiB;]
2026-09-05 06:48:06 GPU_PRIORITY_V4 drain primary=4 snapshot=4 total=8 free=0 high_wait=1 needed=1 wait_ticks=1 victims=none changed=63 gpu[0:55%/82881MiB;1:0%/4MiB;2:100%/94597MiB;3:54%/82789MiB;4:47%/82859MiB;5:67%/29249MiB;6:0%/82519MiB;7:93%/22479MiB;]
2026-09-05 06:48:16 GPU_PRIORITY_V4 drain primary=4 snapshot=4 total=8 free=0 high_wait=1 needed=1 wait_ticks=2 victims=none changed=0 gpu[0:15%/83483MiB;1:0%/15251MiB;2:100%/94597MiB;3:32%/83523MiB;4:25%/83503MiB;5:98%/29249MiB;6:53%/83561MiB;7:79%/22479MiB;]
2026-09-05 06:48:27 GPU_PRIORITY_V4 drain primary=4 snapshot=4 total=8 free=0 high_wait=1 needed=1 wait_ticks=3 victims=gpu0:pg154960:000000000259s changed=1 gpu[0:0%/0MiB;1:100%/18281MiB;2:100%/94597MiB;3:100%/89225MiB;4:88%/89225MiB;5:80%/29249MiB;6:88%/89243MiB;7:84%/22479MiB;]
2026-09-05 06:48:38 GPU_PRIORITY_V4 fill primary=5 snapshot=3 total=8 free=0 high_wait=0 needed=0 wait_ticks=0 victims=none changed=0 gpu[0:1%/0MiB;1:0%/83075MiB;2:100%/94597MiB;3:100%/89225MiB;4:90%/89225MiB;5:3%/29249MiB;6:87%/89243MiB;7:92%/22479MiB;]
2026-09-05 06:48:48 GPU_PRIORITY_V4 drain primary=4 snapshot=4 total=8 free=0 high_wait=1 needed=1 wait_ticks=1 victims=none changed=63 gpu[0:0%/4MiB;1:0%/89243MiB;2:99%/94597MiB;3:100%/89225MiB;4:90%/89225MiB;5:98%/29249MiB;6:0%/4MiB;7:69%/22479MiB;]
2026-09-05 06:48:59 GPU_PRIORITY_V4 drain primary=4 snapshot=4 total=8 free=0 high_wait=1 needed=1 wait_ticks=2 victims=none changed=0 gpu[0:0%/15251MiB;1:100%/89243MiB;2:99%/94597MiB;3:100%/89225MiB;4:82%/89225MiB;5:69%/29249MiB;6:0%/15251MiB;7:73%/22479MiB;]
2026-09-05 06:49:10 GPU_PRIORITY_V4 drain primary=4 snapshot=4 total=8 free=0 high_wait=1 needed=1 wait_ticks=3 victims=gpu0:pg177601:000000000228s changed=1 gpu[0:8%/23035MiB;1:0%/4MiB;2:100%/94597MiB;3:100%/89225MiB;4:86%/89225MiB;5:96%/29249MiB;6:0%/15253MiB;7:73%/22479MiB;]
